"","lane","study","species","gene"
"8655","16228_1_31","musciha","KpSC","CatA2"
"8661","16228_1_31","musciha","KpSC","CatA1"
"8667","16228_1_32","musciha","KpSC","CatA2"
"8681","16228_1_34","musciha","KpSC","CatA2"
"8691","16228_1_34","musciha","KpSC","CatA1"
"8702","16228_1_36","musciha","KpSC","CatA2"
"8718","16228_1_38","musciha","KpSC","CatA2"
"8733","16228_1_39","musciha","KpSC","CatA2"
"8739","16228_1_39","musciha","KpSC","CatA1"
"8750","16228_1_40","musciha","KpSC","CatA2"
"8765","16228_1_47","musciha","KpSC","CatA2"
"8788","16228_1_5","musciha","KpSC","CatA2"
"8801","16228_1_5","musciha","KpSC","CmlA5"
"8808","16228_1_50","musciha","KpSC","CatA2"
"8818","16228_1_51","musciha","KpSC","CatA2"
"8838","16228_1_52","musciha","KpSC","CatA1"
"8843","16228_1_53","musciha","KpSC","CatA2"
"8869","16228_1_56","musciha","KpSC","CatA1"
"8875","16228_1_57","musciha","KpSC","CatA2"
"8889","16228_1_58","musciha","KpSC","CatA2"
"8913","16228_1_59","musciha","KpSC","FloR"
"8917","16228_1_6","musciha","KpSC","CatA2"
"8936","16228_1_61","musciha","KpSC","CatA2"
"8947","16228_1_63","musciha","KpSC","CatA2"
"8967","16228_1_64","musciha","KpSC","CatA1"
"8978","16228_1_65","musciha","KpSC","CatA1"
"8984","16228_1_66","musciha","KpSC","CatA2"
"8996","16228_1_67","musciha","KpSC","CatA2"
"9008","16228_1_68","musciha","KpSC","CatA2"
"9021","16228_1_69","musciha","KpSC","CatA2"
"9048","16228_1_70","musciha","KpSC","CatA1"
"9061","16228_1_71","musciha","KpSC","CatA1"
"9066","16228_1_72","musciha","KpSC","CatA2"
"9080","16228_1_73","musciha","KpSC","CatA2"
"9102","16228_1_75","musciha","KpSC","CatA2"
"9120","16228_1_76","musciha","KpSC","CatA2"
"9137","16228_1_77","musciha","KpSC","CatA1"
"9142","16228_1_78","musciha","KpSC","CatA2"
"9156","16228_1_79","musciha","KpSC","CatA2"
"9167","16228_1_79","musciha","KpSC","CmlA5"
"9176","16228_1_8","musciha","KpSC","CatA2"
"9195","16228_1_80","musciha","KpSC","CmlA5"
"9197","16228_1_80","musciha","KpSC","FloR"
"9204","16228_1_81","musciha","KpSC","CatA2"
"9214","16228_1_81","musciha","KpSC","CatA1"
"9229","16228_1_83","musciha","KpSC","CatA2"
"9241","16228_1_83","musciha","KpSC","CmlA5"
"9243","16228_1_83","musciha","KpSC","FloR"
"9249","16228_1_84","musciha","KpSC","CatA2"
"9257","16228_1_84","musciha","KpSC","CatA1"
"9263","16228_1_85","musciha","KpSC","CatA2"
"9273","16228_1_85","musciha","KpSC","CatA1"
"9279","16228_1_85","musciha","KpSC","CmlA5"
"9284","16228_1_9","musciha","KpSC","CatA2"
"9297","34154_7_10","DASSIM","KpSC","CatA2"
"9298","34154_7_10","DASSIM","KpSC","CmlA5"
"9313","34154_7_100","DASSIM","KpSC","CatA2"
"9314","34154_7_100","DASSIM","KpSC","CatB4"
"9315","34154_7_100","DASSIM","KpSC","CmlA5"
"9333","34154_7_102","DASSIM","KpSC","CatA2"
"9334","34154_7_102","DASSIM","KpSC","CmlA5"
"9362","34154_7_104","DASSIM","KpSC","CatA1"
"9363","34154_7_104","DASSIM","KpSC","CatB4"
"9377","34154_7_105","DASSIM","KpSC","CatA2"
"9390","34154_7_106","DASSIM","KpSC","CatA2"
"9391","34154_7_106","DASSIM","KpSC","CatB4"
"9392","34154_7_106","DASSIM","KpSC","CmlA5"
"9409","34154_7_108","DASSIM","KpSC","CatA2"
"9423","34154_7_11","DASSIM","KpSC","CatA2"
"9435","34154_7_110","DASSIM","KpSC","CatA2"
"9436","34154_7_110","DASSIM","KpSC","CmlA5"
"9449","34154_7_112","DASSIM","KpSC","CatB4"
"9475","34154_7_118","DASSIM","KpSC","CatA2"
"9485","34154_7_119","DASSIM","KpSC","CatA1"
"9500","34154_7_12","DASSIM","KpSC","CatA2"
"9501","34154_7_12","DASSIM","KpSC","CmlA5"
"9516","34154_7_122","DASSIM","KpSC","CatA2"
"9534","34154_7_123","DASSIM","KpSC","CatA2"
"9535","34154_7_123","DASSIM","KpSC","CmlA5"
"9563","34154_7_13","DASSIM","KpSC","CatA2"
"9564","34154_7_13","DASSIM","KpSC","CatB4"
"9584","34154_7_130","DASSIM","KpSC","CatA1"
"9585","34154_7_130","DASSIM","KpSC","CatB4"
"9604","34154_7_131","DASSIM","KpSC","CatB4"
"9635","34154_7_136","DASSIM","KpSC","CatA1"
"9636","34154_7_136","DASSIM","KpSC","CatB4"
"9657","34154_7_138","DASSIM","KpSC","CatA1"
"9658","34154_7_138","DASSIM","KpSC","CatB4"
"9697","34154_7_142","DASSIM","KpSC","CatB4"
"9712","34154_7_144","DASSIM","KpSC","CatB4"
"9740","34154_7_148","DASSIM","KpSC","CatB4"
"9755","34154_7_150","DASSIM","KpSC","CatB4"
"9773","34154_7_152","DASSIM","KpSC","CatA2"
"9793","34154_7_153","DASSIM","KpSC","CatA2"
"9794","34154_7_153","DASSIM","KpSC","CatB4"
"9809","34154_7_155","DASSIM","KpSC","CatA1"
"9824","34154_7_158","DASSIM","KpSC","CatB4"
"9853","34154_7_160","DASSIM","KpSC","CatB4"
"9876","34154_7_164","DASSIM","KpSC","CatB4"
"9896","34154_7_166","DASSIM","KpSC","CatA2"
"9897","34154_7_166","DASSIM","KpSC","CmlA5"
"9910","34154_7_168","DASSIM","KpSC","CatA2"
"9930","34154_7_174","DASSIM","KpSC","CatB4"
"9946","34154_7_176","DASSIM","KpSC","CatA2"
"9947","34154_7_176","DASSIM","KpSC","CatB4"
"9967","34154_7_178","DASSIM","KpSC","CatA2"
"9986","34154_7_179","DASSIM","KpSC","CatB4"
"10003","34154_7_18","DASSIM","KpSC","CatB4"
"10017","34154_7_183","DASSIM","KpSC","CatA2"
"10034","34154_7_184","DASSIM","KpSC","CatB4"
"10049","34154_7_185","DASSIM","KpSC","CatB4"
"10063","34154_7_189","DASSIM","KpSC","CatB4"
"10080","34154_7_19","DASSIM","KpSC","CatB4"
"10108","34154_7_194","DASSIM","KpSC","CatA1"
"10109","34154_7_194","DASSIM","KpSC","CatB4"
"10124","34154_7_197","DASSIM","KpSC","CatB4"
"10151","34154_7_20","DASSIM","KpSC","CatA1"
"10152","34154_7_20","DASSIM","KpSC","CatB4"
"10171","34154_7_202","DASSIM","KpSC","CatB4"
"10186","34154_7_204","DASSIM","KpSC","CatB4"
"10199","34154_7_205","DASSIM","KpSC","CatA1"
"10200","34154_7_205","DASSIM","KpSC","CatA2"
"10214","34154_7_207","DASSIM","KpSC","CatB4"
"10246","34154_7_212","DASSIM","KpSC","CatA2"
"10270","34154_7_216","DASSIM","KpSC","CatB4"
"10285","34154_7_218","DASSIM","KpSC","CatB4"
"10300","34154_7_219","DASSIM","KpSC","CatA2"
"10315","34154_7_22","DASSIM","KpSC","CatA1"
"10316","34154_7_22","DASSIM","KpSC","CatB4"
